Latitude,Longitude,Time_Created
38.4188696,-82.0711068,3/1/2013 21:11
29.57314512,-95.13982082,5/4/2013 18:12
39.33556223,-82.09088437,5/29/2013 17:23
40.6766287,-74.2974528,5/29/2013 2:02
37.16259766,-83.38623047,6/11/2013 7:47
38.3657916,-81.68958148,6/16/2013 0:04
44.49859973,-78.3599247,7/22/2013 10:47
38.24701098,-85.710783,7/17/2013 15:44
40.81186259,-77.85374187,7/18/2013 21:35
38.252988,-85.737798,7/12/2013 15:09
27.92198068,-82.49335527,7/12/2013 22:05
36.96004622,-84.093727,7/10/2013 16:58
42.385654,-88.0738631,7/3/2013 21:51
36.96004622,-84.093727,7/30/2013 11:43
38.24709562,-85.68557413,8/20/2013 8:27
38.18396644,-85.74106875,8/24/2013 11:34
40.84201128,-96.29030157,8/24/2013 21:29
42.7243084,-77.8769472,8/18/2013 1:57
38.25407487,-85.74632882,8/10/2013 22:05
32.7940569,-96.8038719,9/12/2013 8:50
38.57484064,-121.7480383,9/2/2013 15:14
36.96004622,-84.093727,9/30/2013 15:40
34.12445,-118.1499248,9/28/2013 22:28
42.34836828,-71.08412329,10/20/2013 18:40
36.7803524,-88.0855742,10/18/2013 16:27
36.96004622,-84.093727,10/4/2013 17:08
36.15277643,-86.78353786,10/29/2013 19:01
36.96910333,-86.43129816,10/8/2013 7:14
32.73643235,-117.1750689,10/9/2013 1:29
38.94324595,-84.65857009,11/28/2013 18:10
39.80677718,-76.98338859,11/30/2013 10:50
37.4487055,-84.3377123,11/23/2013 16:49
10.6308718,-61.2935443,12/29/2013 23:08
39.89853254,-74.18536896,12/27/2013 12:14
42.20978639,-83.21012023,12/10/2013 22:09
33.4905811,-112.2046113,12/24/2013 11:08
38.30182115,-85.55736475,12/24/2013 15:58
36.64225329,-87.34062195,12/23/2013 13:42
38.18673252,-84.87535,12/20/2013 11:21
30.45938543,-84.36064482,12/31/2013 14:56
37.38526264,-121.9049721,1/25/2014 15:57
42.25129177,-83.21890522,1/6/2014 23:02
40.73861463,-73.612727,1/11/2014 13:16
38.59555984,-90.6294992,1/10/2014 19:48
38.63204956,-83.79741669,1/11/2014 21:18
35.15153949,-90.04999853,1/17/2014 11:25
38.22020159,-85.75136064,1/18/2014 15:39
38.25640297,-85.75493103,1/19/2014 13:50
37.25756534,-84.247291,1/2/2014 5:13
36.56747441,-89.2120293,1/1/2014 13:53
36.97310865,-84.11138169,2/16/2014 21:58
35.3406791,-80.7796143,2/17/2014 21:01
29.42842968,-98.4914489,2/9/2014 17:39
45.64252116,-84.47056652,2/15/2014 8:22
32.84354682,-97.23016452,2/20/2014 9:39
32.84274591,-97.23008578,2/20/2014 9:44
29.67308828,-82.36448893,2/28/2014 0:12
34.80956264,-86.96581367,2/27/2014 1:50
37.73971006,-84.30080812,3/18/2014 21:33
38.90934031,-92.30180481,3/21/2014 17:34
41.94432149,-88.14477926,3/21/2014 17:56
39.0303188,-84.9994852,3/22/2014 13:21
41.56907706,-87.27900754,3/26/2014 2:03
38.25435425,-85.75474704,3/28/2014 15:15
28.53482727,-81.29637427,4/23/2014 23:48
37.8114657,-85.46830055,4/17/2014 21:30
38.9166287,-84.63262307,4/6/2014 10:29
30.61743365,-96.3005539,4/5/2014 23:16
30.39721342,-88.99560119,4/5/2014 23:52
38.56268714,-90.3168555,4/5/2014 23:41
41.6740277,-101.8709523,4/1/2014 20:43
33.7657204,-84.181665,5/10/2014 20:49
37.73740022,-84.30136077,5/10/2014 22:30
40.7664105,-82.53020758,5/27/2014 8:37
36.96001777,-84.09365956,5/24/2014 12:54
40.29383783,-86.03696022,5/3/2014 17:58
38.2574372,-85.7562484,5/8/2014 18:59
38.511351,-90.319246,6/16/2014 13:37
36.959722,-84.094167,6/16/2014 17:37
41.307422,-73.748947,6/25/2014 21:55
35.998776,-80.031131,6/25/2014 21:54
38.795044,-86.520786,6/25/2014 22:22
27.89728531,-82.50459195,6/29/2014 15:58
30.70586445,-97.74034045,6/29/2014 15:56
42.0886798,-80.1226935,6/29/2014 15:58
38.115162,-121.276863,7/27/2014 19:01
38.32050275,-85.84209357,7/4/2014 3:18
28.324708,-81.530502,7/13/2014 8:57
28.324708,-81.530502,7/13/2014 8:57
44.976834,-93.268021,9/23/2014 12:37
36.303709,-94.188521,11/20/2014 21:30
40.312258,-86.127161,12/21/2014 11:27
11.391823,-69.702945,12/16/2014 13:43
40.3652775,-82.6693795,1/4/2015 17:29
37.998934,-84.521805,1/7/2015 10:19
38.245556,-85.715833,1/18/2015 14:29
38.174652,-85.739751,1/24/2015 0:24
38.723487,-121.361923,2/2/2015 21:42
44.967364,-89.608617,3/8/2015 22:31
38.249364,-85.783622,8/24/2012 17:55
38.19897872,-85.74264647,8/19/2012 11:03
37.41106033,-87.44210052,8/12/2012 13:31
36.96004622,-84.093727,9/4/2012 17:59
40.7122753,-73.81371056,9/29/2012 4:18
36.091252,-115.2616775,10/11/2012 21:47
40.780881,-73.95961674,10/9/2012 9:40
41.94804103,-71.27868583,11/8/2012 12:06
37.03974522,-85.90087845,11/3/2012 12:50
36.219143,-115.280482,12/19/2012 13:15
35.59873676,-82.55738507,1/8/2013 1:55
38.4189313,-82.07101,1/19/2013 6:45
38.5183,-89.98090196,2/14/2013 14:22
40.3652775,-82.6693795,4/22/2013 0:49
37.58211431,-121.9900398,4/25/2013 21:49
40.780881,-73.95961674,4/2/2013 19:43
39.7796725,-86.14906195,4/7/2014 13:20
38.01439758,-84.4096649,4/28/2014 1:14
33.81407879,-117.1338709,4/1/2014 2:37
41.9176558,-87.68494339,5/3/2014 16:56
38.03421162,-78.49848767,5/3/2014 17:57
39.1795082,-96.5617333,5/3/2014 18:41
36.59509043,-86.59512668,6/11/2014 23:43
35.02100866,-80.82806281,6/18/2014 12:43
36.960046,-84.093727,6/21/2014 14:16
44.049411,-123.124437,6/29/2014 17:05
28.324716,-81.530536,7/13/2014 8:56
28.324708,-81.530502,7/13/2014 8:57
42.10502,-86.480505,8/16/2014 11:07
41.244502,-81.840186,8/17/2014 15:18
40.025725,-79.588299,8/13/2014 16:33
38.295113,-78.429195,9/23/2014 21:20
34.723397,-82.788649,10/4/2014 23:26
38.174652,-85.739751,11/26/2014 17:19
38.422141,-78.844492,11/2/2014 20:47
40.57278,-81.10355,12/22/2014 19:50
37.77029249,-122.4404573,12/16/2014 12:51
37.998941,-84.521788,1/7/2015 10:32
37.53363,-77.427481,2/17/2015 18:50
34.184488,-117.336588,2/20/2015 13:02
41.034895,-81.80951,2/9/2015 21:47
32.797809,-96.798484,2/9/2015 23:28
26.166206,-80.167482,4/1/2015 10:28
41.228648,-96.1112,4/4/2015 23:10
36.95985193,-84.09374402,10/21/2012 13:12
36.96004622,-84.093727,10/26/2012 16:01
33.92944765,-84.33129397,1/27/2013 10:10
37.8222935,-85.7681905,3/3/2013 2:34
41.70725719,-86.25735887,3/2/2013 21:03
38.2516961,-85.74870818,3/11/2013 23:15
43.13386,-115.6861402,3/30/2013 16:33
41.92426965,-87.74454765,4/28/2013 14:05
36.87195857,-83.88922469,4/26/2013 14:07
42.32282352,-77.65413003,4/10/2014 22:27
28.53490619,-81.29639403,4/23/2014 23:50
39.39318,-74.535778,5/25/2014 16:41
35.3691007,-82.4986379,5/18/2014 15:17
35.28017057,-120.66131,5/8/2014 20:54
35.968457,-83.920587,5/6/2014 8:34
39.1795096,-96.5617288,5/3/2014 18:40
36.960046,-84.093727,6/21/2014 14:16
41.532061,-72.057004,6/25/2014 23:42
43.652307,-116.199954,6/26/2014 0:03
37.7242535,-97.3082615,6/26/2014 12:21
39.33312,-76.386575,6/25/2014 21:54
40.726724,-74.002911,6/26/2014 0:53
39.63529049,-119.6650496,6/8/2014 16:41
29.115157,-81.06249475,6/27/2014 1:34
39.7718914,-86.1782249,6/29/2014 17:12
38.24555556,-85.71583333,7/4/2014 16:02
28.324708,-81.530502,7/13/2014 8:56
38.734159,-83.018606,7/7/2014 22:08
